2320,68.7,2320,68.7,2320,68.7,2320,-175
2340,68.6,2340,68.6,2340,68.6,2340,-175.1
2360,68.5,2360,68.5,2360,68.5,2360,-175.2
2380,68.4,2380,68.4,2380,68.4,2380,-175.3
2400,68.4,2400,68.4,2400,68.4,2400,-175.3
2420,68.3,2420,68.3,2420,68.3,2420,-175.4
2440,68.2,2440,68.2,2440,68.2,2440,-175.5
2460,68.2,2460,68.2,2460,68.2,2460,-175.5
2480,68.1,2480,68.1,2480,68.1,2480,-175.6
2500,68,2500,68,2500,68,2500,-175.6
2520,68,2520,68,2520,68,2520,-175.7
2540,67.9,2540,67.9,2540,67.9,2540,-175.8
2560,67.9,2560,67.9,2560,67.9,2560,-175.8
2580,67.8,2580,67.8,2580,67.8,2580,-175.9
2600,67.8,2600,67.8,2600,67.8,2600,-175.9
2620,67.7,2620,67.7,2620,67.7,2620,-176
2640,67.6,2640,67.6,2640,67.6,2640,-176.1
2660,67.6,2660,67.6,2660,67.6,2660,-176.1
2680,67.5,2680,67.5,2680,67.5,2680,-176.2
2700,67.4,2700,67.4,2700,67.4,2700,-176.3
2720,67.4,2720,67.4,2720,67.4,2720,-176.3
2740,67.3,2740,67.3,2740,67.3,2740,-176.4
2760,67.3,2760,67.3,2760,67.3,2760,-176.4
2780,67.2,2780,67.2,2780,67.2,2780,-176.5
2800,67.1,2800,67.1,2800,67.1,2800,-176.6
2820,67.1,2820,67.1,2820,67.1,2820,-176.6
2840,67,2840,67,2840,67,2840,-176.7
2860,66.9,2860,66.9,2860,66.9,2860,-176.8
2880,66.8,2880,66.8,2880,66.8,2880,-176.9
2900,66.8,2900,66.8,2900,66.8,2900,-176.9
2920,66.7,2920,66.7,2920,66.7,2920,-177
2940,66.6,2940,66.6,2940,66.6,2940,-177.1
2960,66.6,2960,66.6,2960,66.6,2960,-177.1
2980,66.5,2980,66.5,2980,66.5,2980,-177.2
3000,66.4,3000,66.4,3000,66.4,3000,-177.3
